Date,Close,Open,High,Low,Change %,Daily Return (%),Volatility (7D),SMA (7D),SMA (30D),Forward Premia of US$ 1-month (%),Forward Premia of US$ 3-month (%),Forward Premia of US$ 6-month (%),Reverse Repo Rate (%),Marginal Standing Facility (MSF) Rate (%),Bank Rate (%),Base Rate (%),91-Day Treasury Bill (Primary) Yield (%),182-Day Treasury Bill (Primary) Yield (%),364-Day Treasury Bill (Primary) Yield (%),10-Year G-Sec Yield (FBIL) (%),Cash Reserve Ratio (%),Statutory Liquidity Ratio (%),Policy Repo Rate (%),"Foreign Exchange Reserves 
(US $ Million)"
15-02-2013,7.814,7.814,7.814,7.814,0.0024,0.00243746,0.01481955,7.813428571,7.7936,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
17-02-2013,7.814,7.814,7.814,7.814,0,0,0.014349382,7.814714286,7.794033333,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
18-02-2013,7.814,7.814,7.814,7.814,0,0,0.013723459,7.816,7.795833333,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
19-02-2013,7.814,7.814,7.814,7.814,0,0,0.013425278,7.816714286,7.798533333,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
20-02-2013,7.804,7.804,7.804,7.804,-0.0013,-0.001279754,0.010205041,7.811857143,7.8009,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
21-02-2013,7.811,7.811,7.811,7.811,0.0009,0.000896976,0.007345228,7.809428571,7.804233333,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
22-02-2013,7.819,7.819,7.819,7.819,0.001,0.001024197,0.004561746,7.812857143,7.805566667,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
25-02-2013,7.831,7.831,7.831,7.831,0.0015,0.001534723,0.008280787,7.815285714,7.805866667,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
26-02-2013,7.812,7.812,7.812,7.812,-0.0024,-0.002426255,0.0083666,7.815,7.806966667,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
27-02-2013,7.787,7.787,7.787,7.787,-0.0032,-0.003200205,0.013533028,7.811142857,7.805766667,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
28-02-2013,7.843,7.843,7.843,7.843,0.0072,0.007191473,0.018190788,7.815285714,7.807033333,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
