Date,Price,Open,High,Low,Change %,Daily Return (%),Volatility (7D),SMA (7D),SMA (30D),Forward Premia of US$ 1-month (%),Forward Premia of US$ 3-month (%),Forward Premia of US$ 6-month (%),Reverse Repo Rate (%),Marginal Standing Facility (MSF) Rate (%),Bank Rate (%),Base Rate (%),91-Day Treasury Bill (Primary) Yield (%),182-Day Treasury Bill (Primary) Yield (%),364-Day Treasury Bill (Primary) Yield (%),10-Year G-Sec Yield (FBIL) (%),Cash Reserve Ratio (%),Statutory Liquidity Ratio (%),Policy Repo Rate (%),"Foreign Exchange Reserves 
(US $ Million)"
29-01-2013,7.847,7.847,7.847,7.847,-0.0020,-0.203484675,0.015279928,7.864857143,7.937333333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
30-01-2013,7.891,7.891,7.891,7.891,0.0056,0.560723844,0.017985444,7.869142857,7.929333333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
31-01-2013,7.912,7.912,7.912,7.912,0.0027,0.266125966,0.021621198,7.878142857,7.922666667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
01-02-2013,7.905,7.905,7.905,7.905,-0.0009,-0.088473205,0.022678918,7.884,7.9158,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
04-02-2013,7.937,7.937,7.937,7.937,0.0040,0.404807084,0.030297729,7.891428571,7.910166667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
05-02-2013,7.923,7.923,7.923,7.923,-0.0018,-0.176389064,0.032292561,7.896857143,7.904033333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
06-02-2013,7.907,7.907,7.907,7.907,-0.0020,-0.201943708,0.028684657,7.903142857,7.897366667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
07-02-2013,7.878,7.878,7.878,7.878,-0.0037,-0.366763627,0.019492367,7.907571429,7.891666667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
08-02-2013,7.843,7.843,7.843,7.843,-0.0044,-0.444275197,0.031212787,7.900714286,7.886633333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
09-02-2013,7.844,7.844,7.844,7.844,0.0001,0.012750223,0.037134889,7.891,7.881666667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
11-02-2013,7.858,7.858,7.858,7.858,0.0018,0.178480367,0.038408828,7.884285714,7.878033333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
12-02-2013,7.867,7.867,7.867,7.867,0.0011,0.11453296,0.030744725,7.874285714,7.875933333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
13-02-2013,7.844,7.844,7.844,7.844,-0.0029,-0.292360493,0.023537205,7.863,7.872966667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
14-02-2013,7.818,7.818,7.818,7.818,-0.0033,-0.331463539,0.019499695,7.850285714,7.870233333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
15-02-2013,7.832,7.832,7.832,7.832,0.0018,0.179073932,0.016049032,7.843714286,7.867766667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
17-02-2013,7.832,7.832,7.832,7.832,0.0000,0,0.016657617,7.842142857,7.8656,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
